Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;200.453.863;0,462
ALPA4;ALPARGATAS;PN      N1;202.765.994;0,172
ABEV3;AMBEV S/A;ON;4.386.652.506;3,241
AMER3;AMERICANAS;ON      NM;596.086.291;0,446
ARZZ3;AREZZO CO;ON      NM;60.358.029;0,276
ASAI3;ASSAI;ON      NM;795.949.801;0,735
AZUL4;AZUL;PN      N2;327.646.296;0,238
B3SA3;B3;ON      NM;5.901.731.302;4,136
BPAN4;BANCO PAN;PN      N1;341.549.703;0,118
BBSE3;BBSEGURIDADE;ON      NM;671.682.536;0,899
BRML3;BR MALLS PAR;ON      NM;828.273.884;0,388
BBDC3;BRADESCO;ON  EJ  N1;1.508.883.586;1,106
BBDC4;BRADESCO;PN  EJ  N1;5.156.077.326;4,493
BRAP4;BRADESPAR;PN      N1;251.025.058;0,289
BBAS3;BRASIL;ON      NM;1.420.731.069;2,506
BRKM5;BRASKEM;PNA     N1;265.212.486;0,397
BRFS3;BRF SA;ON      NM;1.076.512.610;0,614
BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,619
CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,444
CCRO3;CCR SA;ON  ED  NM;1.115.681.435;0,648
CMIG4;CEMIG;PN      N1;1.442.098.974;0,768
CIEL3;CIELO;ON      NM;1.095.401.258;0,278
COGN3;COGNA ON;ON      NM;1.820.405.422;0,262
CPLE6;COPEL;PNB     N2;1.563.365.506;0,565
CSAN3;COSAN;ON      NM;1.171.063.698;0,984
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,309
CMIN3;CSNMINERACAO;ON      N2;1.110.550.596;0,184
CVCB3;CVC BRASIL;ON      NM;275.967.676;0,09
CYRE3;CYRELA REALT;ON      NM;274.142.301;0,227
DXCO3;DEXCO;ON      NM;274.863.424;0,129
ECOR3;ECORODOVIAS;ON      NM;333.657.615;0,087
ELET3;ELETROBRAS;ON      N1;1.447.696.333;3,354
ELET6;ELETROBRAS;PNB     N1;279.941.393;0,691
EMBR3;EMBRAER;ON      NM;734.632.205;0,447
ENBR3;ENERGIAS BR;ON      NM;246.028.184;0,253
ENGI11;ENERGISA;UNT     N2;248.477.689;0,548
ENEV3;ENEVA;ON      NM;1.561.135.009;0,996
EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,468
EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,486
EZTC3;EZTEC;ON      NM;94.318.339;0,088
FLRY3;FLEURY;ON      NM;370.847.036;0,316
GGBR4;GERDAU;PN      N1;1.111.956.242;1,347
GOAU4;GERDAU MET;PN      N1;686.077.578;0,362
GOLL4;GOL;PN      N2;190.059.275;0,085
NTCO3;GRUPO NATURA;ON      NM;835.961.011;0,539
SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,324
HAPV3;HAPVIDA;ON      NM;4.454.740.939;1,583
HYPE3;HYPERA;ON      NM;400.842.480;0,866
IGTI11;IGUATEMI S.A;UNT     N1;216.457.368;0,215
IRBR3;IRBBRASIL RE;ON      NM;2.455.237.214;0,106
ITSA4;ITAUSA;PN      N1;4.736.060.282;2,291
